angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.09,"[601, 399, 384, 506]",0.0,0.22,0.03,0.35,0.08,0.23
0.08,"[601, 398, 384, 509]",0.0,0.16,0.04,0.42,0.08,0.22
0.14,"[601, 403, 371, 487]",0.0,0.18,0.07,0.44,0.14,0.03
0.11,"[596, 395, 386, 511]",0.0,0.27,0.02,0.33,0.18,0.09
0.12,"[602, 399, 383, 504]",0.0,0.28,0.02,0.32,0.15,0.11
0.32,"[603, 395, 376, 498]",0.0,0.27,0.03,0.13,0.08,0.16
0.14,"[596, 393, 395, 525]",0.0,0.25,0.03,0.28,0.16,0.15
0.08,"[599, 400, 387, 521]",0.0,0.12,0.11,0.58,0.08,0.03
0.1,"[605, 401, 380, 518]",0.0,0.07,0.09,0.65,0.07,0.02
0.04,"[603, 403, 376, 499]",0.0,0.15,0.06,0.34,0.04,0.37
0.11,"[603, 395, 374, 500]",0.0,0.23,0.13,0.35,0.09,0.09
0.08,"[606, 399, 377, 512]",0.0,0.25,0.08,0.34,0.05,0.21
0.07,"[601, 407, 379, 512]",0.0,0.07,0.12,0.64,0.08,0.02
0.06,"[605, 404, 377, 510]",0.0,0.16,0.05,0.61,0.09,0.04
0.1,"[601, 409, 378, 506]",0.0,0.11,0.1,0.54,0.1,0.05
0.07,"[605, 405, 379, 510]",0.0,0.17,0.1,0.32,0.06,0.29
0.09,"[602, 416, 379, 501]",0.0,0.09,0.06,0.62,0.12,0.02
0.08,"[602, 413, 381, 496]",0.0,0.17,0.03,0.58,0.08,0.07
0.09,"[604, 404, 386, 516]",0.0,0.17,0.14,0.47,0.08,0.05
0.08,"[604, 401, 385, 517]",0.0,0.22,0.06,0.41,0.1,0.14
0.08,"[608, 409, 372, 493]",0.0,0.21,0.07,0.47,0.07,0.1
0.14,"[606, 410, 373, 486]",0.0,0.13,0.15,0.44,0.08,0.07
0.13,"[603, 405, 378, 494]",0.0,0.15,0.1,0.5,0.08,0.04
0.15,"[597, 391, 379, 496]",0.0,0.16,0.14,0.42,0.09,0.02
0.21,"[623, 413, 350, 456]",0.0,0.17,0.07,0.38,0.12,0.06
0.18,"[613, 407, 353, 459]",0.0,0.15,0.06,0.41,0.14,0.06
0.25,"[614, 411, 348, 453]",0.0,0.2,0.09,0.29,0.13,0.04
0.16,"[603, 405, 365, 472]",0.0,0.2,0.06,0.46,0.08,0.03
0.12,"[605, 401, 365, 474]",0.0,0.22,0.1,0.42,0.11,0.03
